gf girlfriend
dnt don't
knw know
dont don't
coz cause
abt about
clg college
plz please
evn even
bcoz because
fav favourite
kinda kind
bday birthday
jst just
flng feeling
dat that
atti attitude
dept department
clge college
frnd friend
xam exam
nvr never
thru through
pls please
betwn between
wanna want
frnds friends
dis this
lyf life
thanx thank-you
cntrl control
swthrt sweetheart
nyways anyway
nyway anyway
hons honours
widout without
fon phone
engg engineering
frustu frustration
whr where
wht what
spcl special
yrs years
enuf enough
btw by-the-way
diff difference
app application
info information
b/w between
req required
gr8 great
tym time
phn phone
cos cause
bcos because
obj object
no. number
ques question
wthr weather
cnt can't
algo algorithm
st. straight
pt. point
lyn line
fyn fine
comm commerce
tech technology
dest destination
shld should
pckt packet
mech mechanics
ack acknowledged
unack unacknowledged
ackd acknowledged
unackd unacknowledged
i/p input
o/p output
seq sequence
len length
sec second
secs seconds
ryt right
blv believe
add address
lib library
govt government 
fb facebook
bcz because
shud should
dats that's
bro brother
sis sister
gal girl
gals girls
frndz friends
qsn question
cmmnt comment
b4 before
cya see-you
gtg got-to-go
lol laughing-out-loud
whatz what's
hw homework
wat what
intro introduction
freq frequency
prob problem
bf boyfriend
luv love
msg message
deg degree
lil little
donno dont-know
lemme let-me
hist history
maths mathematics
math mathematics
univ university
despo desperate
fyi for-your-information
msgs messages
chem chemistry
cmtd committed
ctrl control
deo deodorant
thnx thank-you
mrng morning
sum some
funda fundamental
lyk like
u you
ENDFILE

