exclamation-point eh2ksklah0mey1shah0npoy2nt
quote kwow1t
unquote ah1nkwow1t
#hash-mark hhae1maa2rk
#pound-sign paw1ndsay2n
#sharp-sign shaa1rpsay2n
%percent per0seh1nt
&ampersand ae1mper0sae2nd
'allo aa2low1
'apostrophe ah0paa1strah0fiy0
'bout baw1t
'cause kah0z
'course kao1rs
'cuse kyuw1z
'em ah0m
'end-inner-quote eh1ndih1ner0kwow1t
'end-quote eh1ndkwow1t
'frisco frih1skow0
'gain geh1n
'inner-quote ih1ner0kwow1t
'kay key1
'm ah0m
'n ah0n
'quote kwow1t
'round raw1nd
's eh1s
'single-quote sih1nggah0lkwow1t
'til tih1l
'tis tih1z
'twas twah1z
(begin-parens bih0gih1nper0eh1nz
(in-parentheses ih1nper0eh1nthah0siy2z
(left-paren leh1ftper0eh1n
(open-parentheses ow1pah0nper0eh1nthah0siy2z
(paren per0eh1n
(parens per0eh1nz
(parentheses per0eh1nthah0siy2z
)close-paren klow1zper0eh1n
)close-parentheses klow1zper0eh1nthah0siy2z
)end-paren eh1ndper0eh1n
)end-parens eh1ndper0eh1nz
)end-parentheses eh1ndper0eh1nthah0siy2z
)end-the-paren eh1nddhah0per0eh1n
)paren per0eh1n
)parens per0eh1nz
)right-paren ray1tpeh2rah0n
)un-parentheses ah1nper0eh1nthah0siy1z
+plus pluh1s
,comma kaa1mah0
--dash dae1sh
-dash dae1sh
-hyphen hhay1fah0n
...ellipsis ih2lih1psih0s
.decimal deh1sah0mah0l
.dot daa1t
.full-stop fuh1lstaa1p
.period pih1riy0ah0d
.point poy1nt
/slash slae1sh
3-d thriy1diy2
3d thriy1diy2
:colon kow1lah0n
;semi-colon seh1miy0kow1lah0n
;semi-colon(1) seh1mih0kow2lah0n
?question-mark kweh1schah0nmaa1rk
a ah0
a(1) ey1
a's ey1z
a. ey1
a.'s ey1z
a.s ey1z
a42128 ey1fao1rtuw1wah1ntuw1ey1t
aa ey2ey1
aaa trih2pah0ley1
aaberg aa1ber0g
aachen aa1kah0n
aachener aa1kah0ner0
aah aa1
aaker aa1ker0
aaliyah aa2liy1aa2
aalseth aa1lseh0th
aamodt aa1mah0t
aancor aa1nkao2r
aardema aa0rdeh1mah0
aardvark aa1rdvaa2rk
aardvarks aa1rdvaa2rks
aargh aa1rg
aaron eh1rah0n
aaron's eh1rah0nz
aarons eh1rah0nz
aaronson eh1rah0nsah0n
aaronson(1) aa1rah0nsah0n
aaronson's eh1rah0nsah0nz
aaronson's(1) aa1rah0nsah0nz
aarti aa1rtiy2
aase aa1s
aasen aa1sah0n
ab ae1b
aba ey2biy2ey1
ababa ah0baa1bah0
ababa(1) aa1bah0bah0
abacha ae1bah0kah0
aback ah0bae1k
abaco ae1bah0kow2
abacus ae1bah0kah0s
abad ah0baa1d
abadaka ah0bae1dah0kah0
abadi ah0bae1diy0
